id__bioguide,id__thomas,id__govtrack,social__twitter,social__facebook,social__youtube,social__youtube_id,social__twitter_id,social__instagram,social__instagram_id
C001047,01676,400061,SenCapito,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,193794406,sencapito,1640447624
C001038,01604,400087,RepJoeCrowley,repjoecrowley,RepJoeCrowley,UCni23wivejzkS9G1L_XEBQw,111635980,,
C001037,01564,400063,RepMikeCapuano,RepMichaelCapuano,RepMikeCapuano,UCvzAdbimlJksgZjEMQn0kuw,747806211983179008,,
C001035,01541,300025,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,19726613,sensusancollins,
C000984,00256,400090,RepCummings,elijahcummings,ElijahECummings,UCMasH4jR80RdkqyuF0neFZg,787373558,,
C000880,00250,300030,MikeCrapo,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,600463589,mikecrapo,329357214
C000754,00231,400081,RepJimCooper,JimCooper,RepJimCooper,UCjplyIIQbNZcl013AyDfPNg,22523087,repjimcooper,1037212884
C000537,00208,400075,Clyburn,jameseclyburn,repjamesclyburn,UCIyU_UA_JEa14gvAwhquKqg,188019606,,
C000266,00186,400071,RepSteveChabot,RepSteveChabot,congressmanchabot,UCJpzm2DZDE1B6ruQLQc7q4g,237750442,repstevechabot,481906395
C000174,00179,300019,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,,
C000141,00174,400064,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,
C000127,00172,300018,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,,
C000059,00165,400057,KenCalvert,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,22545491,,
B001277,02076,412490,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,278124059,,
B001275,02018,412427,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,234812598,,
B001274,01987,412395,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,237299871,,
B001273,02063,412478,RepDianeBlack,DianeBlackTN06,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,110545675,repdianeblack,371192551
B001270,01996,412404,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,239949176,,
B001269,02054,412469,RepLouBarletta,CongressmanLouBarletta,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,239871673,,
B001267,01965,412330,SenBennetCo,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,224285242,,
B001261,01881,412251,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,202206694,,
B001260,01840,412196,VernBuchanan,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,20467163,repvern,344865327
B001257,01838,412250,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,26051676,gusbilirakis,
B001251,01761,400616,GKButterfield,congressmangkbutterfield,GKBNC01,UCbodCVgLfcbaep49L1M-mqA,432676344,,
B001250,01753,400029,RepRobBishop,RepRobBishop,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,148006729,,
B001248,01751,400052,MichaelCBurgess,michaelcburgess,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw,15751083,repmichaelburgess,
B001243,01748,400032,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,278145569,marshablackburn,
B001236,01687,400040,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,5558312,,
B001227,01469,400047,RepBrady,RepRobertBrady,BradyPA01,UCHbTbPH6iCtaA_AKPwDy04A,148453195,repbrady,1405678385
B001135,00153,400054,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,21157904,,
B000944,00136,400050,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,43910797,,
B000755,01468,400046,RepKevinBrady,kevinbrady,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA,19926675,repkevinbrady,337613850
B000575,01464,400034,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,21269970,royblunt,21185436
B000574,00099,400033,BlumenauerMedia,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,137823987,,
B000490,00091,400030,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,249410485,,
B000213,00062,400018,RepJoeBarton,RepJoeBarton,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,19929362,,
A000367,02029,412438,,repjustinamash,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,,,
A000360,01695,300002,SenAlexander,senatorlamaralexander,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,76649729,senlamaralexander,1156775647
A000055,01460,400004,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,76452765,,
B001245,01723,400041,,madeleine.bordallo,RepMadeleineBordallo,UCmHdfm0Nyslc8LOoq3KIATg,,,
D000617,02096,412505,RepDelBene,RepDelBene,,UCd00b7TpKDZIr-Ujhaktvjg,995193054,repdelbene,
B001278,02092,412501,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,UC0IkAeEiwgzSRTD1TDSvuBw,558769636,,
C000567,00213,300023,SenThadCochran,,sencochran,UCTnKP_ye7nI5DEn_zreaa3g,555474658,,
K000383,,412545,SenAngusKing,SenatorAngusSKingJr,SenatorAngusKing,UCpp6lGvrmt0XU_lnD4Ak0gA,1068481578,,
A000369,02090,412500,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,UCjOGx2iqSn1r3BQxaVgYhYw,402719755,MarkAmodeiNV2,
L000580,02146,412558,RepLujanGrisham,RepLujanGrisham,RepLujanGrisham,UCS_N-wEnUBEbVYCD-CXpNjw,1061385474,replujangrisham,379143191
D000621,02116,412526,RepDeSantis,RepDeSantis,RepRonDeSantis,UCRM1qBatq45tZxRqYeUa02g,1058807868,,
D000620,02133,412544,RepJohnDelaney,congressmanjohndelaney,repjohndelaney,UC-Sz2M53ZYi_8MvapFKZJiw,937723303,,
S001193,02104,412514,RepSwalwell,CongressmanEricSwalwell,ericswalwell,UCKvwsFNGD4sDkE_9g-2ft0w,942156122,repswalwell,338799200
M001190,02156,412568,RepMullin,RepMullin,,UCLQlm-cbGbJj9baZC6oFsag,1060370282,,
K000379,02172,412543,RepJoeKennedy,301936109927957,,UCgfHlaGqxD8p-2V_YlNIqrA,1055907624,repkennedy,1328567154
B001284,02129,412539,SusanWBrooks,congresswomansusanwbrooks,SusanWBrooks,UCMd7LzaBcbQ06aKHoj9KkSQ,1074101017,susanwbrooks,365798183
W000813,02128,412538,RepWalorski,RepJackieWalorski,repwalorski,UC8fsSDjVJ_VnCF3ccx3Lkng,1065995022,jackiewalorski,
R000597,02160,412572,RepTomRice,reptomrice,RepTomRice,UCEmPVQphMGoXAfWJli68BEw,1058345042,reptomrice,
M001188,02148,412560,RepGraceMeng,repgracemeng,,UCHg516zJKbIBtXFAJ0nu3XQ,1051127714,,
M001189,02130,412540,RepLukeMesser,RepLukeMesser,RepLukeMesser,UC9NKMvZuY2koTf1iVurxicw,1045853744,,
M001185,02150,412562,RepSeanMaloney,RepSeanMaloney,,UCNiVzzf4Vz-vCMPBcnjGuXQ,1072467470,,
