id__bioguide,id__thomas,id__lis,id__govtrack,id__opensecrets,id__votesmart,id__icpsr,id__wikidata,id__google_entity_id,id__fec__-,id__wikipedia,id__house_history,id__icpsr_prez,name__first,name__middle,name__last,name__nickname,name__suffix,bio__birthday,bio__gender,bio__religion,terms__type,terms__start,terms__end,terms__party,terms__how
R000429,,,409394,,,,,,,,,99893,Theodore,,Roosevelt,,,1858-10-27,M,,prez,1901/09/14,1905/03/04,Republican,succession
R000429,,,409394,,,,,,,,,99893,Theodore,,Roosevelt,,,1858-10-27,M,,prez,1905/03/04,1909/03/04,Republican,election
S000345,,,409841,,,8453,,,,,,,James,Schoolcraft,Sherman,,,1855-10-24,M,,viceprez,1909/03/04,1912/10/30,Republican,election
,,,412359,,,,,,,,,99894,William,Howard,Taft,,,1857-09-15,M,,prez,1909/03/04,1913/03/04,Republican,election
M000164,,,412590,,,,,,,,,,Thomas,Riley,Marshall,,,1854-03-14,M,,viceprez,1913/03/04,1917/03/04,Democratic,election
M000164,,,412590,,,,,,,,,,Thomas,Riley,Marshall,,,1854-03-14,M,,viceprez,1917/03/04,1921/03/04,Democratic,election
,,,412360,,,,,,,,,99895,Woodrow,,Wilson,,,1856-12-28,M,,prez,1913/03/04,1917/03/04,Democratic,election
,,,412360,,,,,,,,,99895,Woodrow,,Wilson,,,1856-12-28,M,,prez,1917/03/04,1921/03/04,Democratic,election
H000192,,,405073,,,4059,,,,,,99896,Warren,Gamaliel,Harding,,,1865-11-02,M,,prez,1921/03/04,1923/08/02,Republican,election
D000147,,,412591,,,,,,,,,,Charles,Gates,Dawes,,,1865-08-27,M,,viceprez,1925/03/04,1929/03/04,Republican,election
C000738,,,402859,,,,,,,,,99897,Calvin,Gates,Coolidge,,,1872-07-04,M,,viceprez,1921/03/04,1923/08/02,Republican,election
C000738,,,402859,,,,,,,,,99897,Calvin,Gates,Coolidge,,,1872-07-04,M,,prez,1923/08/02,1925/03/04,Republican,succession
C000738,,,402859,,,,,,,,,99897,Calvin,Gates,Coolidge,,,1872-07-04,M,,prez,1925/03/04,1929/03/04,Republican,election
C001008,,,403115,,,2269,,,,,,,Charles,,Curtis,,,1860-01-25,M,,viceprez,1929/03/04,1933/03/04,Republican,election
,,,412363,,,,,,,,,99898,Herbert,Clark,Hoover,,,1860-01-25,M,,prez,1929/03/04,1933/03/04,Republican,election
G000074,,,404446,,,3482,,,,,,,John,Nance,Garner,,,1868-11-22,M,,viceprez,1933/03/04,1937/01/20,Democratic,election
G000074,,,404446,,,3482,,,,,,,John,Nance,Garner,,,1868-11-22,M,,viceprez,1937/01/20,1941/01/20,Democratic,election
W000077,,,412592,,,,,,,,,,Henry,Agard,Wallace,,,1888-10-07,M,,viceprez,1941/01/20,1945/01/20,Democratic,election
,,,412364,,,,,,,,,99899,Franklin,Delano,Roosevelt,,,1882-01-30,M,,prez,1933/03/04,1937/01/20,Democratic,election
,,,412364,,,,,,,,,99899,Franklin,Delano,Roosevelt,,,1882-01-30,M,,prez,1937/01/20,1941/01/20,Democratic,election
,,,412364,,,,,,,,,99899,Franklin,Delano,Roosevelt,,,1882-01-30,M,,prez,1941/01/20,1945/01/20,Democratic,election
,,,412364,,,,,,,,,99899,Franklin,Delano,Roosevelt,,,1882-01-30,M,,prez,1945/01/20,1945/04/12,Democratic,election
B000145,,,401146,,,437,,,,,,,Alben,William,Barkley,,,1877-11-24,M,,viceprez,1949/01/20,1953/01/20,Democratic,election
