committee,name,party,rank,title,thomas,bioguide,chamber
SSEG07,Lisa Murkowski,majority,8,Ex Officio,01694,M001153,
SSEG07,"Angus S. King, Jr.",minority,1,Ranking Member,02185,K000383,
SSEG07,Ron Wyden,minority,2,,01247,W000779,
SSEG07,Bernard Sanders,minority,3,,01010,S000033,
SSEG07,"Joe Manchin, III",minority,5,,01983,M001183,
SSEG07,Tammy Duckworth,minority,6,,02123,D000622,
SSEG07,Maria Cantwell,minority,7,Ex Officio,00172,C000127,
SSEV,John Barrasso,majority,1,Chairman,01881,B001261,
SSEV,James M. Inhofe,majority,2,,00583,I000024,
SSEV,Shelley Moore Capito,majority,3,,01676,C001047,
SSEV,John Boozman,majority,4,,01687,B001236,
SSEV,Roger F. Wicker,majority,5,,01226,W000437,
SSEV,Deb Fischer,majority,6,,02179,F000463,
SSEV,Jerry Moran,majority,7,,01507,M000934,
SSEV,Mike Rounds,majority,8,,02288,R000605,
SSEV,Joni Ernst,majority,9,,02283,E000295,
SSEV,Dan Sullivan,majority,10,,02290,S001198,
SSEV,Richard C. Shelby,majority,11,,01049,S000320,
SSEV,Thomas R. Carper,minority,1,Ranking Member,00179,C000174,
SSEV,Benjamin L. Cardin,minority,2,,00174,C000141,
SSEV,Bernard Sanders,minority,3,,01010,S000033,
SSEV,Sheldon Whitehouse,minority,4,,01823,W000802,
SSEV,Jeff Merkley,minority,5,,01900,M001176,
SSEV,Kirsten E. Gillibrand,minority,6,,01866,G000555,
SSEV,Cory A. Booker,minority,7,,02194,B001288,
SSEV,Edward J. Markey,minority,8,,00735,M000133,
SSEV,Tammy Duckworth,minority,9,,02123,D000622,
SSEV,Kamala D. Harris,minority,10,,,H001075,
SSEV08,James M. Inhofe,majority,1,Chairman,00583,I000024,
SSEV08,Shelley Moore Capito,majority,2,,01676,C001047,
SSEV08,John Boozman,majority,3,,01687,B001236,
SSEV08,Roger F. Wicker,majority,4,,01226,W000437,
SSEV08,Deb Fischer,majority,5,,02179,F000463,
SSEV08,Jerry Moran,majority,6,,01507,M000934,
SSEV08,Joni Ernst,majority,7,,02283,E000295,
SSEV08,Dan Sullivan,majority,8,,02290,S001198,
